>>>>>Begin Spectral Data<<<<<,W/m^2/nm
445.814,0.018843247
446.183,0.020872996
446.552,0.015717066
446.922,0.018529434
447.291,0.015534159
447.66,0.016467817
448.029,0.016978984
448.398,0.016281474
448.768,0.016675064
449.137,0.015797586
449.506,0.017410484
449.875,0.016532542
450.243,0.013834231
450.612,0.013834231
450.981,0.019233406
451.35,0.01337506
451.719,0.018243819
452.087,0.016962145
452.456,0.015546279
452.825,0.016440375
453.193,0.016033715
453.562,0.018066805
453.93,0.01706996
454.299,0.01500941
454.667,0.015600586
455.035,0.017466359
455.404,0.019027131
455.772,0.016765139
456.14,0.014045817
456.508,0.015172948
456.877,0.014672876
457.245,0.013961486
457.613,0.014819976
457.981,0.013363171
458.349,0.015499506
458.717,0.013514163
459.085,0.015673155
459.452,0.014968129
459.82,0.014020237
460.188,0.01500259
460.556,0.015526677
460.923,0.017435661
461.291,0.01524496
461.659,0.014653566
462.026,0.014964801
462.394,0.014997207
462.761,0.01448012
463.128,0.013588367
463.496,0.012251283
463.863,0.012396908
464.23,0.017514592
464.598,0.014577988
464.965,0.014507221
465.332,0.013189422
465.699,0.016050167
466.066,0.017361538
466.433,0.012659598
466.8,0.012796821
467.167,0.01631143
467.534,0.015636653
467.901,0.01605042
468.268,0.015871948
468.635,0.012382745
469.001,0.01697157
469.368,0.016209861
469.735,0.015359622
470.101,0.012799129
470.468,0.014631394
470.834,0.013988657
471.201,0.015136793
471.567,0.012627233
471.934,0.012955896
472.3,0.014250369
472.666,0.01327504
473.032,0.017024032
473.399,0.011593159
473.765,0.013059769
474.131,0.014429044
474.497,0.01461453
474.863,0.012438305
475.229,0.016806247
475.595,0.015672261
475.961,0.011130586
476.327,0.011151562
476.693,0.012114363
477.058,0.014466333
477.424,0.014879378
477.79,0.013635147
478.156,0.014368805
478.521,0.013876295
478.887,0.01492002
479.252,0.013861394
479.618,0.014566375
479.983,0.015811631
480.348,0.014227869
480.714,0.013507984
481.079,0.01242501
481.444,0.01363943
481.81,0.016919235
482.175,0.012850942
482.54,0.014249104
482.905,0.012156637
483.27,0.015563259
483.635,0.014807657
484,0.013559233
484.365,0.014177689
484.73,0.013489151
485.095,0.013812663
485.459,0.013922191
485.824,0.017259259
486.189,0.014474056
486.553,0.017959281
486.918,0.01574349
487.283,0.014626524
487.647,0.015246904
488.012,0.016505757
488.376,0.018750086
488.74,0.017630151
489.105,0.018014849
489.469,0.01529438
489.833,0.0171701
490.198,0.016782849
490.562,0.01671912
490.926,0.019374151
491.29,0.0202904
491.654,0.018846092
492.018,0.019569908
492.382,0.021438825
492.746,0.017807769
493.11,0.020897908
493.474,0.022999283
493.837,0.021711857
494.201,0.021354221
494.565,0.02244897
494.928,0.023171251
495.292,0.024980837
495.656,0.02546349
496.019,0.026451275
496.383,0.028186251
496.746,0.026630847
497.109,0.029080637
497.473,0.028724701
497.836,0.028962072
498.199,0.032015741
498.563,0.031250775
498.926,0.031780349
499.289,0.035604705
499.652,0.035422331
500.015,0.034138669
500.378,0.034430378
500.741,0.035072092
501.104,0.036705757
501.467,0.039798203
501.829,0.040907116
502.192,0.043278813
502.555,0.043221012
502.918,0.04437796
503.28,0.048369711
503.643,0.048485313
504.005,0.050394371
504.368,0.050479873
504.73,0.054035896
505.093,0.055814024
505.455,0.056788932
505.817,0.056674319
506.18,0.061893625
506.542,0.060230343
506.904,0.063293297
507.266,0.064828616
507.628,0.06716
507.991,0.067330438
508.353,0.070401076
508.715,0.072959711
509.076,0.073983257
509.438,0.076045494
509.8,0.076834637
510.162,0.079145522
510.524,0.080498534
510.885,0.080554853
511.247,0.082358414
511.609,0.084105884
511.97,0.087670217
512.332,0.085435428
512.693,0.087670217
513.055,0.086887996
513.416,0.085770602
513.778,0.089346534
514.139,0.092475193
514.5,0.093539633
514.861,0.095920861
515.223,0.090937084
515.584,0.093373641
515.945,0.09414894
516.306,0.092543012
516.667,0.092155649
517.028,0.093088757
517.389,0.093637566
517.75,0.095558396
518.11,0.092210707
518.471,0.091552004
518.832,0.092413367
519.193,0.089857072
519.553,0.090346594
519.914,0.087735737
520.274,0.089476235
520.635,0.087028845
520.995,0.087409462
521.356,0.084363645
521.716,0.083812315
522.076,0.084135841
522.437,0.078854118
522.797,0.082249402
523.157,0.078692355
523.517,0.077075594
523.877,0.077169442
524.238,0.070494526
524.598,0.074552916
524.958,0.075247171
525.317,0.068358406
525.677,0.068305052
526.037,0.069683004
526.397,0.067037845
526.757,0.065344815
527.116,0.063334408
527.476,0.063704645
527.836,0.063651785
528.195,0.064551267
528.555,0.05904908
528.914,0.061958755
529.274,0.059842627
529.633,0.059859805
529.993,0.057606143
530.352,0.054776028
530.711,0.055352482
531.07,0.054094629
531.429,0.051369247
531.789,0.052941721
532.148,0.054356673
532.507,0.051107203
532.866,0.051421614
533.225,0.051631291
533.584,0.049377629
533.942,0.047857733
534.301,0.047490956
534.66,0.046180526
535.019,0.046390203
535.377,0.044346219
535.736,0.045761382
536.095,0.044660629
536.453,0.042406968
536.812,0.041358793
537.17,0.041201482
537.528,0.043140733
537.887,0.041149116
538.245,0.03978653
538.603,0.040415351
