wavelength nm,W/m^2/nm
460.923,0.328247068
461.291,0.331689898
461.659,0.329494602
462.026,0.330844542
462.394,0.330405685
462.761,0.327305657
463.128,0.331087522
463.496,0.329750438
463.863,0.326834444
464.23,0.328574564
464.598,0.336663502
464.965,0.335840229
465.332,0.344557221
465.699,0.338740781
466.066,0.343279984
466.433,0.353742058
466.8,0.355595247
467.167,0.354927962
467.534,0.36779761
467.901,0.363794199
468.268,0.374986757
468.635,0.377768299
469.001,0.380986908
469.368,0.375379273
469.735,0.397530733
470.101,0.401875211
470.468,0.403400414
470.834,0.41263191
471.201,0.414323386
471.567,0.419057803
471.934,0.429509572
472.3,0.432190898
472.666,0.4405576
473.032,0.452277865
473.399,0.451900637
473.765,0.453210817
474.131,0.465763625
474.497,0.468397715
474.863,0.467452416
475.229,0.472991586
475.595,0.471429084
475.961,0.490847524
476.327,0.488010255
476.693,0.489396474
477.058,0.49077903
477.424,0.492443809
477.79,0.498482789
478.156,0.506738337
478.521,0.503667195
478.887,0.510508857
479.252,0.5067924
479.618,0.516618964
479.983,0.503720235
480.348,0.507426757
480.714,0.515504797
481.079,0.520323884
481.444,0.50737294
481.81,0.510102916
482.175,0.506298789
482.54,0.50502251
482.905,0.508314255
483.27,0.503062697
483.635,0.514511271
484,0.511919323
484.365,0.507107187
484.73,0.510385056
485.095,0.512019592
485.459,0.507903546
485.824,0.521526339
486.189,0.516750896
486.553,0.520254498
486.918,0.526409131
487.283,0.528278934
487.647,0.536026693
488.012,0.545302323
488.376,0.541232902
488.74,0.54107957
489.105,0.543652088
489.469,0.547927072
489.833,0.55325747
490.198,0.552573556
490.562,0.563926841
490.926,0.564934884
491.29,0.555811705
491.654,0.572263771
492.018,0.555297813
492.382,0.568193988
492.746,0.553363048
493.11,0.560161604
493.474,0.558439187
493.837,0.561014287
494.201,0.555030394
494.565,0.556489978
494.928,0.548647853
495.292,0.550638494
495.656,0.540564745
496.019,0.538048434
496.383,0.533621088
496.746,0.531706781
497.109,0.525947809
497.473,0.514199761
497.836,0.520845179
498.199,0.515033659
498.563,0.507267131
498.926,0.503795508
499.289,0.491145239
499.652,0.484684295
500.015,0.482175502
500.378,0.477041092
500.741,0.473482052
501.104,0.471731797
501.467,0.466247382
501.829,0.455180576
502.192,0.454602102
502.555,0.451304659
502.918,0.439329873
503.28,0.44482561
503.643,0.437131578
504.005,0.434181173
504.368,0.429495084
504.73,0.423587633
505.093,0.422038964
505.455,0.406438351
505.817,0.414926916
506.18,0.417221036
506.542,0.406782422
506.904,0.407767779
507.266,0.396281753
507.628,0.394234661
507.991,0.39332497
508.353,0.389401683
508.715,0.389344641
509.076,0.383829223
509.438,0.382182502
509.8,0.379476932
510.162,0.374065793
510.524,0.371867546
510.885,0.3657799
511.247,0.370909219
511.609,0.370120076
511.97,0.36251548
512.332,0.358604375
512.693,0.359274946
513.055,0.358045677
513.416,0.361006863
513.778,0.358716249
514.139,0.355084492
514.5,0.359141163
514.861,0.349893131
515.223,0.355320223
515.584,0.351665275
515.945,0.354489594
516.306,0.352329689
516.667,0.343201608
517.028,0.34863508
517.389,0.350116996
517.75,0.351489018
518.11,0.35198299
518.471,0.347647135
518.832,0.345385538
519.193,0.348268108
519.553,0.341360677
519.914,0.345820498
520.274,0.35033488
520.635,0.343046833
520.995,0.341523924
521.356,0.340708127
521.716,0.341544986
522.076,0.345371494
522.437,0.345533257
522.797,0.344778725
523.157,0.338688622
523.517,0.340844303
523.877,0.337076606
524.238,0.341615618
524.598,0.34476612
524.958,0.342309657
525.317,0.337824215
525.677,0.341028072
526.037,0.336600685
526.397,0.342314528
526.757,0.342473323
527.116,0.337817544
527.476,0.342473323
527.836,0.343002355
528.195,0.343319731
528.555,0.340939088
528.914,0.340409843
529.274,0.33808206
529.633,0.340740167
529.993,0.344670825
530.352,0.339010594
530.711,0.341054578
531.07,0.340425546
531.429,0.339639414
531.789,0.340373179
532.148,0.341840709
532.507,0.339796725
532.866,0.341368988
533.225,0.336285211
533.584,0.34199802
533.942,0.341893076
534.301,0.343150928
534.66,0.341526299
535.019,0.347396207
535.377,0.339849092
535.736,0.339482315
536.095,0.342102753
536.453,0.343308239
536.812,0.341631032
537.17,0.346557709
537.528,0.341631032
537.887,0.348706637
538.245,0.346819753
538.603,0.339901458
538.962,0.344461359
539.32,0.345457167
539.678,0.339534681
540.036,0.341211677
540.394,0.349702446
540.752,0.344670825
541.11,0.343046195
541.468,0.345352223
541.826,0.346819753
542.184,0.342784151
542.541,0.349387825
542.899,0.344670825
543.257,0.353266327
543.614,0.350855355
543.972,0.344042004
544.33,0.347658251
544.687,0.340897267
545.045,0.350750622
545.402,0.358664725
545.759,0.349702446
546.117,0.351274709
546.474,0.348863737
546.831,0.347710829
547.188,0.344304048
547.546,0.349283092
547.903,0.345981255
548.26,0.339849092
548.617,0.344513725
548.974,0.350750622
549.331,0.352322884
549.687,0.350016857
550.044,0.339744359
550.401,0.346977064
550.758,0.349206783
551.114,0.344274711
551.471,0.344274711
551.828,0.347182082
552.184,0.345053426
552.541,0.3495701
552.897,0.349050956
553.254,0.345832141
553.61,0.349466355
553.966,0.351231484
554.323,0.348272241
554.679,0.348116624
555.035,0.349933625
555.391,0.346143795
555.747,0.344949681
556.103,0.351283357
556.459,0.349622181
556.815,0.350868167
557.171,0.356838526
557.527,0.354086982
557.883,0.350193197
558.239,0.35559254
558.594,0.353204313
558.95,0.354190727
559.306,0.353256185
559.661,0.354190727
560.017,0.35959007
560.372,0.356007729
560.728,0.357980558
561.083,0.360109213
561.438,0.353308267
561.794,0.357253924
562.149,0.356682699
562.504,0.360161086
562.859,0.357928685
563.215,0.358863227
563.57,0.355852112
563.925,0.361199582
564.28,0.355229014
564.635,0.366183526
564.99,0.355540667
565.344,0.363899044
565.699,0.364470269
566.054,0.35868502
566.409,0.360176239
566.763,0.36429004
567.118,0.366449801
567.473,0.36110188
567.827,0.364238661
568.182,0.36357012
568.536,0.367478199
568.891,0.356319745
569.245,0.361153259
569.599,0.371129179
569.953,0.366192701
570.308,0.368146741
570.662,0.37087208
571.016,0.366398422
571.37,0.361204845
571.724,0.373340319
572.078,0.369689339
572.432,0.372517641
572.786,0.36891804
573.14,0.370460845
573.494,0.366861243
573.847,0.370255124
574.201,0.365832845
574.555,0.370409259
574.908,0.367066964
575.262,0.367632542
575.615,0.371489243
575.969,0.371437865
576.322,0.361770422
576.676,0.3776051
577.029,0.373919014
577.382,0.37360757
577.736,0.368571544
578.089,0.380201026
578.442,0.367689084
578.795,0.373140299
579.148,0.367585129
579.501,0.373763187
579.854,0.374386285
580.207,0.362549313
580.56,0.371557661
580.913,0.377480147
581.265,0.379733809
581.618,0.371347984
581.971,0.371557661
582.324,0.374754765
582.676,0.373025191
583.029,0.378819219
583.381,0.373740343
583.734,0.373211311
584.086,0.374851267
584.438,0.372999655
584.791,0.375327438
585.143,0.375097339
585.495,0.370024351
585.847,0.374776781
586.2,0.376859546
586.552,0.374830351
586.904,0.376198952
587.256,0.372857516
587.608,0.37894762
587.959,0.369300468
588.311,0.377746793
588.663,0.37279745
589.015,0.376223884
589.367,0.37568002
589.718,0.382004068
590.07,0.375857277
590.421,0.376021787
590.773,0.375527815
591.124,0.380406215
591.476,0.377914327
591.827,0.384005833
592.179,0.37641906
592.53,0.377415904
592.881,0.381623735
593.232,0.380841514
593.584,0.378327151
593.935,0.378941898
594.286,0.38133704
594.637,0.37389661
594.988,0.379026155
595.339,0.37626404
595.689,0.385933127
596.04,0.382578197
596.391,0.38109992
596.742,0.38087244
597.092,0.384909582
597.443,0.379450976
597.794,0.381890255
598.144,0.388830151
598.495,0.384127068
598.845,0.385331434
599.196,0.386593339
599.546,0.385618199
599.896,0.384545904
600.247,0.386223526
600.597,0.395190341
600.947,0.389810205
601.297,0.386860034
601.647,0.385934289
601.997,0.390967386
602.347,0.384661739
602.697,0.392617028
603.047,0.385615538
603.397,0.390049705
603.747,0.399034865
604.096,0.398042912
604.446,0.392675323
604.796,0.395942653
605.145,0.395359
605.495,0.390866538
605.844,0.393083622
606.194,0.395767534
606.543,0.397401199
606.893,0.394425578
607.242,0.397284375
607.591,0.400474825
607.94,0.399268279
608.29,0.400062829
608.639,0.39835653
608.988,0.40859456
609.337,0.400769006
609.686,0.397238594
610.035,0.405358329
610.384,0.407476624
610.733,0.413301697
611.081,0.410183044
611.43,0.403946211
611.779,0.410712618
612.127,0.40859456
612.476,0.409182922
612.825,0.417126054
613.173,0.409182922
613.522,0.415419755
613.87,0.40765299
614.218,0.410653829
614.567,0.412007157
614.915,0.407476624
615.263,0.40894753
615.611,0.413689482
615.96,0.41185004
616.308,0.418851394
616.656,0.415825339
617.004,0.41362996
617.352,0.42164008
617.7,0.415706773
618.047,0.421818167
618.395,0.41630008
618.743,0.415884622
619.091,0.417555574
619.438,0.41970947
619.786,0.415222347
620.134,0.41306845
620.481,0.4153419
620.829,0.414564319
621.176,0.41432497
621.523,0.4153419
621.871,0.414863444
622.218,0.424263992
622.565,0.418050741
622.912,0.417085434
623.259,0.423298685
623.607,0.414491598
623.954,0.425289327
624.301,0.420041382
624.648,0.417025163
624.994,0.421234082
625.341,0.419957038
625.688,0.4226329
626.035,0.420930012
626.382,0.415517277
626.728,0.421164024
627.075,0.417424016
627.421,0.42245145
627.768,0.418895466
628.114,0.417546781
628.461,0.419430777
628.807,0.417452938
629.154,0.413559263
629.5,0.421664773
629.846,0.412381936
630.192,0.419608865
630.538,0.412381936
630.884,0.40490602
631.231,0.416345719
631.577,0.408370777
631.922,0.407491643
632.268,0.412978741
632.614,0.419940462
632.96,0.4170291
633.306,0.407788876
633.651,0.41078354
633.997,0.411166171
634.343,0.405106769
634.688,0.407411454
635.034,0.404519084
635.379,0.402269203
635.725,0.399891135
636.07,0.400505882
636.415,0.402708092
636.761,0.399663777
637.106,0.401866112
637.451,0.394621625
637.796,0.402937807
638.141,0.403003512
638.486,0.396624811
638.831,0.393180024
639.176,0.394836606
639.521,0.389138402
639.866,0.388771763
640.211,0.390574094
640.555,0.396447938
640.9,0.387146215
641.245,0.382506231
641.589,0.379278534
641.934,0.38931552
642.278,0.382677024
642.623,0.378815916
642.967,0.379534088
643.312,0.383218578
643.656,0.38137647
644,0.374174432
644.344,0.374449386
644.689,0.380811992
645.033,0.377697131
645.377,0.370913267
645.721,0.372726197
646.065,0.375793649
646.409,0.370774106
646.753,0.369331251
647.096,0.367154861
647.44,0.36153794
647.784,0.357154749
648.128,0.364932582
648.471,0.360195066
648.815,0.355166821
649.158,0.350895012
649.502,0.354668558
649.845,0.355769343
650.189,0.350965857
650.532,0.350033755
650.875,0.34782755
651.218,0.347250239
651.562,0.350354339
651.905,0.34708457
652.248,0.338362667
652.591,0.345933195
652.934,0.344323474
653.277,0.329322112
653.62,0.343997665
653.963,0.339724749
654.305,0.3310314
654.648,0.331992131
654.991,0.337332371
655.334,0.335255677
655.676,0.327560811
656.019,0.319273257
656.361,0.324649098
656.704,0.323642518
657.046,0.322590327
657.389,0.321162375
657.731,0.321686462
658.073,0.318055303
658.415,0.319492649
658.757,0.310944155
659.1,0.311606116
659.442,0.312672151
659.784,0.307494131
660.126,0.308331928
660.468,0.307881564
660.809,0.300141135
661.151,0.303896335
661.493,0.303080032
661.835,0.300380486
662.177,0.300689068
662.518,0.298735034
662.86,0.290506608
663.201,0.287556759
663.543,0.288100004
663.884,0.290247574
664.226,0.283607167
664.567,0.287122825
664.908,0.282357331
665.249,0.2853236
665.591,0.284851984
665.932,0.274317442
666.273,0.276991873
666.614,0.286010518
666.955,0.275172271
667.296,0.272403506
667.637,0.275937002
667.978,0.26049351
668.318,0.268533568
668.659,0.268759936
669,0.26139055
669.341,0.265395693
669.681,0.261150454
670.022,0.257443239
670.362,0.256234376
670.703,0.253816327
671.043,0.25010294
671.383,0.25448161
671.724,0.249859554
672.064,0.251319219
672.404,0.249180239
672.744,0.242816892
673.085,0.240451016
673.425,0.233782562
673.765,0.239610088
674.105,0.234356948
674.444,0.24166194
674.784,0.234612711
675.124,0.229741102
675.464,0.228007229
675.804,0.237014534
676.143,0.229123219
676.483,0.222976159
676.823,0.222893163
677.162,0.225306289
677.501,0.223467825
677.841,0.216031151
678.18,0.220794124
678.52,0.213947032
678.859,0.213358805
679.198,0.208399343
679.537,0.210386205
679.876,0.215374841
680.215,0.210893414
680.555,0.20540843
680.894,0.198774781
681.232,0.197669458
681.571,0.199075098
681.91,0.197022187
682.249,0.200398088
682.588,0.197386709
682.926,0.196098307
683.265,0.19306997
683.604,0.194521371
683.942,0.195478502
684.281,0.18773345
684.619,0.189850482
684.957,0.187049863
685.296,0.181417813
685.634,0.180713968
685.972,0.183410817
686.31,0.184472693
686.649,0.182525444
686.987,0.17891749
687.325,0.175713347
687.663,0.177137211
688.001,0.17507856
688.338,0.178031888
688.676,0.172176351
689.014,0.174156235
689.352,0.17674191
689.69,0.171041205
690.027,0.169428446
690.365,0.166153466
690.702,0.166599133
691.04,0.161933964
691.377,0.166580044
691.715,0.16211261
692.052,0.167290498
692.389,0.163258526
692.726,0.166511825
693.064,0.16104306
693.401,0.155716422
693.738,0.158419124
694.075,0.157479721
694.412,0.156136412
694.749,0.152736841
695.086,0.153346422
695.423,0.15471795
695.759,0.156149303
696.096,0.153888761
696.433,0.1527379
696.769,0.158827888
697.106,0.153537108
697.443,0.148691378
697.779,0.15315141
698.116,0.157061725
698.452,0.152640135
698.788,0.157658345
699.125,0.154593625
699.461,0.155068697
699.797,0.15387591
700.133,0.162332351
700.469,0.159120863
700.805,0.161931321
701.141,0.157584717
701.477,0.158593339
701.813,0.156938118
702.149,0.168296665
702.485,0.163000167
702.82,0.162461187
703.156,0.161086056
703.492,0.161703012
703.827,0.164754034
704.163,0.161240586
704.498,0.158585558
704.834,0.171651442
705.169,0.169042944
705.505,0.168481721
705.84,0.173383697
706.175,0.174515295
706.51,0.173098127
706.845,0.179901892
707.18,0.187253068
707.515,0.184257639
707.85,0.180931315
708.185,0.183489992
708.52,0.184981273
708.855,0.189529231
709.19,0.186043307
709.525,0.191155896
709.859,0.19486609
710.194,0.199370151
710.529,0.202142392
710.863,0.203686068
711.198,0.201830693
711.532,0.209740339
711.866,0.209219725
712.201,0.214583849
712.535,0.214972165
712.869,0.216369729
713.203,0.226490124
713.537,0.22128197
713.872,0.231573347
714.206,0.23077751
714.54,0.230181837
